sqft,beds,baths,age,lot,garage,neighborhood,dist_city,price
1756,3,3,2,5862,0,D,15.86,262029
999,4,5,3,1975,2,B,15.77,256594
1304,5,5,15,2011,2,B,13.85,292236
1340,4,4,72,4073,2,C,3.9,189593
1380,3,3,16,6094,2,D,14.83,223938
1353,2,1,12,4570,1,E,6.13,169808
1555,3,4,1,4913,2,A,20.12,377052
894,2,2,7,5642,0,B,10.97,216359
821,3,3,18,2762,2,D,21.14,155245
1640,4,3,6,3872,1,C,7.14,284566
1061,4,5,15,5969,1,B,9.23,258060
1455,4,4,0,2465,2,B,3.52,314479
1926,3,2,13,2257,0,E,5.31,217583
1557,4,3,76,5426,2,C,5.58,213791
300,2,2,2,4079,0,D,12.83,95610
2184,2,3,58,2150,2,E,8.69,214965
1653,4,5,4,7422,1,C,18.99,292435
1125,1,2,23,6016,1,C,3.65,194671
1974,4,4,7,6290,2,E,16.5,254689
1336,2,1,78,7462,0,E,12.37,118223
1321,3,3,3,3531,1,D,12.43,209375
1712,3,2,2,4278,2,B,5.09,334913
1821,2,2,12,5296,2,D,9.81,257607
488,3,3,4,1105,1,C,7.15,136772
1132,3,4,9,8712,1,D,8.98,196809
2196,5,4,5,2686,0,E,7.23,274148
1771,3,4,13,4418,1,E,16.53,219284
978,2,2,3,4577,1,C,16.71,185471
1351,3,4,5,5897,1,D,9.29,228900
1845,3,4,11,1935,2,A,13.06,415209
750,3,2,10,3609,2,B,17.97,180032
1617,2,2,8,6670,1,A,10.71,377659
1126,2,2,40,5989,1,D,7.42,154497
2004,4,5,30,1311,0,C,13.39,315928
1506,4,5,8,7355,0,C,7.08,280358
1511,3,3,32,5123,2,E,15.55,175608
2045,3,3,4,2450,1,C,13.1,322409
1999,4,3,24,5942,2,D,8.87,289185
912,3,3,20,2760,0,D,7.96,155362
1463,3,3,0,6048,1,C,17.49,270675
1177,3,3,7,8280,1,A,7.43,326744
960,3,3,107,5260,2,E,10.74,76535
1621,2,3,7,3592,1,C,13.45,263704
1008,2,2,31,4616,0,C,12.2,175761
1907,4,5,29,2120,2,B,3.95,357833
758,2,2,19,7708,2,B,2.5,176790
1397,4,3,37,9669,2,C,6.68,241485
2497,4,3,19,8348,2,D,11.1,341954
1006,2,2,7,9586,0,D,16.29,173690
1373,3,3,18,2105,1,D,3.06,219823
2128,1,1,18,4579,2,B,10.83,352164
1854,4,3,61,3358,0,E,1.47,186227
1518,2,2,5,5986,0,C,1.03,255303
2108,3,3,20,3174,0,A,14.64,436776
1284,4,4,9,8030,1,C,14.15,248276
2144,3,2,1,2977,2,D,13.58,311368
1126,4,3,0,885,0,B,15.71,249296
1056,3,3,6,2079,1,A,14.43,284461
2644,2,1,13,4971,1,A,14.69,521812
1067,2,2,5,6767,2,B,14.96,240081
1382,4,3,19,6603,2,E,13.24,175714
1282,4,5,3,5119,1,D,8.48,240675
1360,2,2,54,5890,0,A,7.14,259510
1453,2,3,7,3787,2,E,11.41,192105
662,2,1,6,3613,1,E,2.14,118926
737,3,3,3,2847,0,E,7.87,121007
1426,2,2,6,5961,2,E,2.09,187409
1129,5,6,15,6569,0,C,13.69,249214
1535,4,4,1,7930,2,D,4.05,266325
2123,3,4,46,3440,1,E,12.1,223814
1285,2,2,0,5777,2,C,1.21,235791
1322,3,4,14,7903,2,E,8.9,187688
648,3,4,3,3390,0,E,10.63,127929
672,2,2,1,4363,1,E,14.73,106339
891,2,2,28,5034,2,E,7.83,121173
1977,4,5,18,6930,1,A,0.02,461046
1974,3,2,2,6417,1,B,1.53,379688
2610,3,3,1,3023,2,C,19.02,393966
1881,3,2,5,3609,1,D,7.78,274770
1312,5,5,0,1945,2,A,20.83,370068
1239,5,5,8,3785,0,C,4.89,257713
1525,5,4,1,6504,0,E,14.1,229865
1395,3,4,53,3398,1,B,0.57,243338
2296,2,2,6,3623,2,A,13.57,473844
2377,2,2,17,3336,1,A,10.48,483197
1546,3,3,7,2419,0,A,1.98,384683
1466,3,3,22,5440,2,D,10.17,225457
1366,2,3,83,2271,1,D,12.87,149026
1292,3,3,2,7107,0,B,7.53,296266
1001,3,2,51,6484,2,D,19.2,147423
1376,3,3,13,3897,0,A,5.61,335342
1912,3,4,2,4392,0,E,14.45,236043
882,1,1,16,6971,1,C,4.3,163311
1378,2,1,6,8599,0,A,11.41,338181
1126,1,1,12,5776,1,B,0.78,224225
1870,3,3,7,5711,2,B,3.93,364683
1448,2,2,6,5881,1,A,29.7,343039
1544,3,2,6,3776,0,B,4.84,304793
1368,3,3,49,3792,0,B,16.82,222011
932,4,4,7,1828,2,D,9.73,176704
1745,4,4,17,3888,0,D,1.58,259405
2354,3,3,11,3888,1,E,3.94,279347
529,3,4,34,4808,0,C,13.32,125918
1395,4,5,19,4139,1,D,5.75,239394
823,2,2,0,6556,2,E,8.4,137289
1520,4,4,20,1197,2,E,4.25,187837
1673,2,2,27,5279,2,A,16.47,341230
1864,3,3,14,5366,0,B,9.59,339618
802,3,2,1,6423,0,D,12.64,172516
346,2,1,41,3130,0,A,11.52,99441
910,4,4,11,5206,1,E,17.03,151221
2093,1,2,5,4559,0,A,9.28,450485
2113,5,5,9,6924,0,D,18.8,317820
1207,4,5,10,3032,2,C,17.81,233729
1347,2,3,4,3083,2,B,5.96,271406
1728,2,2,21,7186,2,A,5.12,380551
1720,3,4,3,7136,0,C,3.89,313060
1628,2,3,13,2262,2,A,2.71,378546
1758,4,5,16,5265,0,D,16.1,277215
1512,2,2,35,3445,1,B,20.82,243907
2673,5,5,21,4563,0,B,1.65,470800
1069,2,2,4,4058,1,E,14.62,152162
1153,4,4,35,4574,1,B,14.3,243813
1503,3,3,28,4033,0,A,12.31,329616
1276,2,2,1,5027,2,E,2.22,183425
1116,3,2,20,4014,1,A,5.39,280607
2427,3,3,16,6470,0,B,11.5,430351
376,4,3,33,3554,0,B,0.46,128804
1824,3,3,6,2179,1,C,8.03,300712
1274,4,4,5,6000,1,C,17.24,251004
1681,3,3,7,4396,1,D,6.86,264717
1849,5,5,13,4748,0,C,6.1,327013
1785,4,4,48,4766,0,A,13.0,382161
407,2,2,18,4719,1,A,19.62,154733
1192,3,4,53,6362,0,E,10.09,136234
1595,3,3,4,4864,1,C,14.48,283623
1181,3,3,34,6213,2,E,5.08,145504
300,3,3,44,2562,0,C,8.18,76005
1704,3,4,56,6352,0,C,1.96,252895
1580,3,3,0,6138,2,C,3.36,286675
2539,4,3,61,2701,1,B,1.33,399650
1682,2,2,0,5471,0,A,20.03,387658
2301,2,2,4,6554,0,B,23.7,401552
1088,4,3,21,6224,1,B,7.86,250284
1813,2,2,31,8337,1,B,14.99,300245
1698,3,4,3,5604,2,D,17.19,271293
2185,4,5,3,4965,1,E,2.99,274042
1470,3,4,18,4900,0,D,19.82,222115
1691,3,3,34,4935,1,D,13.49,238184
917,4,5,1,3809,2,E,12.98,160242
1707,2,2,6,3418,1,D,21.76,251070
1355,2,3,6,6797,0,E,8.33,174875
1934,3,3,30,6453,0,D,4.62,276763
1050,3,4,2,1766,1,E,11.14,165431
1563,2,3,37,1905,1,D,4.16,198435
1867,3,3,3,4228,0,D,7.27,273946
1113,3,2,15,3965,2,D,6.62,194559
2095,3,3,36,4430,2,C,16.25,304786
556,2,2,3,6072,0,B,5.27,170722
300,2,2,4,3700,0,E,4.82,86616
452,5,5,6,5803,2,A,11.91,233427
940,1,1,13,6609,1,D,0.29,166381
783,3,2,19,4450,0,A,10.57,225165
1845,5,4,15,5329,0,C,17.13,304923
1715,2,2,9,6836,2,A,7.97,396441
1961,3,3,7,7788,0,C,1.5,329577
1274,3,3,31,4166,2,E,11.33,150518
1245,3,3,4,7294,1,B,7.61,278530
2791,4,5,33,5346,0,E,17.12,306399
1400,4,5,29,7826,0,B,2.4,285712
1857,4,4,31,251,2,C,15.31,291714
1374,5,6,0,2973,1,D,8.21,257813
1225,3,2,8,2813,1,C,14.63,221723
1179,2,1,3,8288,1,C,4.84,213729
2141,3,3,66,5969,1,C,11.49,285018
783,5,5,24,5359,0,A,5.39,265399
1520,5,5,37,9197,0,A,0.5,385176
1940,3,4,46,3954,2,C,20.57,275714
1220,3,3,45,3679,1,A,7.08,264537
1735,3,2,14,3579,1,D,8.41,249416
1519,4,4,30,3931,0,E,6.14,193604
781,2,2,5,3840,1,E,13.76,126800
300,3,3,0,4299,1,E,19.77,99296
300,3,4,8,2859,1,C,18.83,123189
914,2,2,3,5588,0,B,5.43,223156
1963,5,6,51,6213,1,B,18.24,345934
2205,3,3,7,5164,1,A,8.38,492163
1330,1,2,17,5101,0,C,21.7,216231
1738,3,3,10,8668,2,B,2.16,344940
1772,2,2,12,4320,0,D,22.25,236006
1257,1,1,35,4094,2,D,17.69,153006
1069,2,2,1,6058,0,D,16.68,191751
1329,3,4,25,4431,1,E,7.87,162060
1662,3,3,8,4095,0,C,19.47,271877
1872,3,3,15,4775,0,E,10.43,217626
1713,2,2,9,4125,1,A,3.47,382228
906,2,2,11,5798,1,E,13.15,137795
1995,2,2,57,7618,2,A,10.64,370913
1659,2,2,43,4410,2,C,18.93,222965
1452,1,1,0,6607,0,D,17.16,211185
1596,4,4,3,6058,2,A,10.57,405741
1680,3,3,10,2887,2,D,2.55,244193
1352,2,2,24,2640,0,D,11.52,195801
1349,1,1,34,3418,2,E,13.53,146323
1031,3,4,14,9593,0,D,15.16,191658
809,5,6,13,4657,2,D,2.29,187280
1703,3,3,5,2874,0,C,14.44,288211
1401,2,2,5,3969,2,D,7.37,223618
2189,3,3,23,5987,2,A,8.34,459406
1167,3,3,16,2994,0,B,1.7,245957
2580,4,3,6,4298,0,C,11.39,397264
2279,2,1,14,6053,1,B,13.63,383640
2273,4,3,14,3176,2,A,2.54,498084
1527,1,1,11,2783,2,C,16.68,230629
562,3,3,26,4035,0,C,8.83,132699
1024,4,4,24,3905,0,D,8.81,189612
1507,4,4,6,5946,2,C,10.32,274307
1676,4,3,67,3212,2,B,19.12,264568
1936,2,2,0,6570,1,A,5.11,440456
1881,3,3,36,200,2,D,15.69,245221
1628,2,2,28,4835,0,A,3.55,356823
1226,5,4,8,5528,2,B,17.4,284727
1373,5,6,3,6323,0,C,30.8,264763
1182,2,1,7,4400,2,A,9.57,288458
1147,3,3,13,4533,0,B,7.09,240018
1591,5,5,44,7444,2,C,15.03,271744
910,4,4,1,6114,2,D,1.22,195488
1576,5,6,6,5929,0,D,21.51,258625
1925,4,4,25,6069,1,D,17.36,275611
1697,2,2,5,200,0,D,8.79,244137
380,2,3,19,4189,1,D,4.2,103483
1670,2,2,49,6776,2,E,4.76,186454
818,1,1,39,6522,2,E,9.63,97643
1369,3,3,0,4474,0,B,11.76,300853
1226,3,3,31,4333,2,D,12.44,188057
1297,3,3,17,4961,0,E,10.2,180926
1201,3,4,37,4637,0,B,0.94,238690
2329,5,6,6,3599,1,E,11.79,284660
1488,4,5,20,4381,1,B,19.54,300810
1469,3,3,0,3918,0,C,3.76,275793
1175,2,2,11,7335,1,D,9.29,185485
1096,5,5,37,6939,2,E,14.55,158952
1573,3,3,34,7304,0,A,16.66,339433
2302,5,5,9,3002,2,B,22.72,427791
1178,3,3,9,7339,2,C,8.65,235824
2483,4,4,25,6538,2,D,6.47,344073
2087,3,2,5,6533,2,C,12.93,332302
1490,3,3,24,3783,1,B,8.1,275953
1611,3,4,4,4384,0,D,12.41,253942
2284,4,5,0,4526,0,B,3.74,449168
2303,4,5,5,6604,2,D,12.91,340691
1519,2,1,4,5839,1,B,8.86,294088
1972,3,2,9,5176,0,B,17.32,362643
1965,4,5,85,6598,1,A,18.09,363380
1321,5,5,28,6496,2,B,12.25,279134
1974,3,4,5,4165,1,C,19.12,324080
2168,3,3,32,5861,0,A,10.92,440037
1565,1,2,63,3971,0,A,8.73,280897
1987,2,2,1,5623,2,B,11.74,361213
622,5,6,8,7785,2,E,5.13,135576
1052,3,3,0,5776,0,D,1.66,206725
2231,4,4,16,5456,1,B,3.92,403034
1230,3,2,48,5638,2,C,8.39,197922
1801,2,2,9,5872,2,E,2.41,216860
1479,4,3,8,3314,2,C,16.11,266532
1438,5,5,5,4398,0,C,6.42,290041
2081,5,5,16,943,0,A,14.81,477893
1476,5,5,15,1025,0,A,1.95,389908
1505,3,4,39,5678,0,B,10.41,274875
562,2,1,21,4462,2,A,19.17,161743
1573,3,3,18,6285,0,C,11.55,263381
2545,2,2,16,5624,1,E,7.84,270847
1750,2,2,0,2208,0,C,9.7,287298
1936,2,2,23,3312,1,D,3.73,260995
1319,4,3,45,7156,1,A,8.39,307156
1869,3,2,4,7423,0,B,21.69,348616
907,4,5,18,7633,1,C,7.44,210760
2251,3,3,0,4858,1,E,7.61,268890
2671,5,5,5,1865,0,C,5.97,428619
933,4,4,0,5306,1,B,6.54,246846
1413,2,1,4,6261,0,B,5.77,277068
2174,2,1,19,3513,2,B,9.73,365809
1393,3,3,16,4462,0,D,8.5,209896
1672,1,1,17,5886,1,C,12.3,258665
1690,3,3,19,4387,2,B,14.94,308328
1612,2,2,0,4947,2,A,20.46,370729
1758,3,3,27,7388,1,E,4.9,218836
1608,3,2,13,4721,0,A,16.29,361297
1376,3,2,4,5679,1,A,8.72,349804
1745,3,2,58,6136,1,C,11.26,243252
1093,2,2,32,3775,1,B,19.87,191238
1658,4,5,30,5526,1,A,1.32,397657
1773,3,3,4,3141,0,B,5.74,337224
755,2,2,4,7466,2,A,3.81,238931
1627,4,4,6,5055,2,D,10.8,262599
1697,2,2,0,2175,0,E,26.45,202155
1583,3,4,42,7467,2,E,2.72,186439
1749,4,3,15,2435,0,A,7.61,409862
1091,5,5,7,3757,1,E,12.79,185451
2343,4,3,6,4228,1,B,7.86,420742
1499,3,4,59,3734,2,A,7.05,305701
1060,3,3,1,5253,2,B,15.82,247564
1556,3,3,5,2623,1,B,0.18,307070
1555,4,4,14,4602,2,B,10.24,320227
1657,3,2,32,7266,0,B,16.89,285517
1451,2,1,5,3042,2,C,13.8,245596
2077,3,2,4,7207,1,A,13.87,466047
1281,3,4,4,1050,0,A,17.86,335591
900,3,3,0,6208,2,E,19.24,143884
1844,2,3,18,4744,0,D,0.12,262060
1075,1,1,9,3966,2,A,21.5,240972
1179,2,2,21,6381,0,B,9.22,230697
1009,2,3,2,5673,0,B,1.43,235315
2106,3,3,5,3877,2,A,19.7,468188
1434,3,4,19,6640,2,D,6.34,228896
1731,3,3,1,4243,1,A,8.52,409935
1402,3,4,10,5648,1,E,6.17,199446
2398,3,3,4,2279,2,B,13.57,422149
1152,2,2,30,4194,1,B,8.36,214974
1122,2,2,8,4594,2,C,12.08,205343
1583,4,4,8,4693,2,C,11.74,291623
1689,4,5,11,3292,2,D,10.58,262436
1401,5,5,18,5206,1,B,12.4,313254
1666,3,3,13,4162,2,D,14.03,240280
2902,3,3,23,5069,0,D,11.72,383224
2265,2,3,0,3677,1,D,13.03,311596
1063,3,4,54,7081,1,C,9.12,169003
2864,3,3,2,4945,2,B,9.5,499414
1549,3,3,15,4356,1,D,4.16,237846
1066,1,1,2,1195,1,E,16.74,137877
1392,4,5,6,7577,2,E,18.45,207943
1505,5,6,0,6243,1,D,10.09,278051
1579,4,5,30,4169,2,D,14.57,241541
2388,2,2,12,5426,0,D,7.94,329023
1621,2,1,3,4151,2,A,14.52,368816
1875,2,2,19,6047,0,D,12.36,247672
876,3,4,52,5094,2,D,15.51,128536
1877,4,3,2,5460,0,E,7.93,243863
1945,3,3,17,4328,0,E,7.33,224831
1437,5,5,7,2642,1,C,10.99,269657
1614,2,2,62,4609,1,B,9.35,242182
2013,3,3,53,6585,0,C,2.94,282657
2167,4,3,0,2197,1,B,15.92,400905
972,3,2,54,5683,0,C,14.12,144467
1250,4,4,9,4604,0,E,15.99,173212
744,5,5,50,2116,1,D,15.09,136808
1397,2,1,47,5306,1,C,1.73,194543
1542,4,4,2,5005,1,A,15.03,399611
1341,3,3,95,5351,0,A,13.05,217252
958,4,4,5,5163,0,D,7.54,185253
2331,4,4,20,5486,1,B,3.9,418184
1041,5,5,28,1475,2,A,5.27,299933
1322,3,3,5,7129,1,A,14.84,345168
1671,3,4,0,3010,0,C,3.74,285840
1571,4,3,37,7121,1,A,3.33,353819
1690,3,2,26,9294,0,B,14.06,316416
1211,2,1,7,1754,0,A,1.84,294754
1696,4,3,9,5096,0,B,12.92,331455
413,3,4,33,5366,0,D,12.75,100536
1193,4,4,16,5869,2,A,19.45,319411
1870,3,3,18,5306,0,E,14.54,224530
1697,1,1,10,8096,0,D,16.55,232914
1814,2,3,11,5287,0,D,5.28,262137
1555,4,3,67,1761,2,D,0.15,197510
1327,5,5,11,4410,2,B,11.09,297342
1810,2,2,15,5010,1,E,5.39,207186
1055,3,4,8,2108,2,D,16.08,189655
1441,1,2,5,6399,2,B,3.81,284827
2218,3,4,30,5098,2,E,8.25,250728
1029,3,3,31,7579,0,B,2.77,227980
1087,2,2,84,5332,2,E,8.0,96182
1439,1,2,17,6579,1,E,12.13,176830
912,2,2,57,3819,0,A,15.88,183502
1845,3,2,45,7474,1,D,1.15,251349
1527,5,4,27,4194,0,B,13.26,309534
1891,5,4,29,6406,0,D,7.21,282559
1098,3,2,4,7167,1,D,11.86,199104
1787,3,4,8,6355,2,A,1.53,440337
1270,4,4,12,1831,0,E,12.66,178022
746,5,5,16,3008,0,A,18.79,251397
1231,2,2,71,7726,2,D,19.64,134749
2439,4,4,22,2884,0,B,6.78,429348
1378,3,2,9,5322,0,B,13.57,272745
1139,4,4,44,5961,1,C,4.44,201456
1448,1,1,23,4694,2,B,12.0,246626
1682,4,4,45,1129,1,B,4.94,291577
1091,3,2,0,9185,2,C,7.36,227321
2038,3,3,2,4904,0,A,4.49,467701
1437,3,2,70,7114,2,C,17.74,186091
1926,3,3,0,1958,1,C,20.3,320721
1328,2,3,1,7685,1,C,11.47,249524
1169,4,5,26,3899,0,E,10.11,173306
1491,3,3,10,6324,2,A,1.39,371262
1494,2,2,4,5575,0,E,25.59,179014
1593,3,3,1,3409,2,A,12.9,377841
1320,3,2,4,3516,1,D,12.13,219582
1854,4,4,25,5811,1,D,12.93,279901
836,3,3,3,5117,1,A,9.32,259911
1513,3,3,9,5398,2,E,9.01,199103
749,3,4,0,2288,0,B,8.32,211861
1222,3,3,1,7564,0,D,18.3,217909
2410,2,3,7,244,1,E,18.37,262623
1870,3,2,135,2178,1,B,9.29,201216
1093,3,3,13,5672,0,D,12.2,179708
1755,2,2,75,7982,2,E,6.06,170188
1406,4,5,47,4417,2,D,7.53,214973
1531,1,2,17,6725,1,E,8.48,188077
1579,2,2,8,6892,0,C,25.41,251350
1775,2,2,20,4711,2,A,8.33,385447
2418,3,3,3,7204,0,B,15.0,445203
1330,4,3,3,4219,1,E,20.58,182243
1845,3,2,7,5223,0,D,13.41,260987
1013,3,3,20,3950,1,D,12.98,178354
1444,3,4,11,4720,0,E,2.36,196255
1125,3,2,12,6003,1,C,5.12,209225
1203,3,3,7,7110,2,D,10.55,202449
1388,3,2,4,1204,0,A,1.68,352157
534,5,5,2,2465,1,B,15.69,199891
1563,2,2,29,4438,2,E,10.43,174854
1180,1,1,12,5691,2,C,10.41,190881
1824,3,3,35,3559,0,E,13.24,205664
1514,5,4,14,4430,0,D,19.3,252454
2573,2,1,22,3359,1,D,9.25,330847
1727,2,2,3,6818,1,A,8.95,408588
639,3,2,49,5433,1,B,10.86,135492
1399,5,6,14,5188,2,A,8.0,379511
1073,3,3,19,4915,0,A,11.81,271388
1935,2,2,22,6448,2,E,3.18,222131
1251,5,5,33,7137,1,E,0.62,177501
2466,4,4,8,4528,2,B,7.73,444060
1103,4,4,29,3047,1,E,10.75,149155
1621,4,5,32,10977,0,D,19.91,255374
1775,5,5,6,5702,2,B,7.51,367426
1495,3,2,3,5800,1,B,12.49,300416
886,1,1,48,3785,1,E,16.33,96730
944,2,2,16,3345,0,D,9.47,160875
1678,2,3,37,4300,1,D,9.38,224423
1640,5,4,7,4131,0,C,9.9,296770
1798,3,3,50,3990,0,A,17.73,359567
1825,2,1,10,5018,0,A,15.67,400571
1409,3,2,5,2527,0,A,17.08,330604
677,3,3,8,5374,1,A,7.17,225432
1698,3,2,28,6021,0,B,2.46,305988
1686,4,5,32,5807,0,D,9.91,244862
1200,3,3,31,2833,0,C,9.5,207759
2195,3,3,3,6144,2,B,11.31,400046
1238,2,2,16,6872,1,A,2.36,306472
1640,1,1,0,6202,2,A,8.22,371713
2003,3,3,18,7950,1,C,6.07,330583
1288,4,4,13,4616,2,B,0.31,283422
1332,3,2,25,5104,0,D,16.17,200087
1745,2,1,25,5252,0,E,17.03,195717
1221,5,5,8,2269,0,C,16.17,253410
2472,3,4,5,5712,1,A,17.02,548343
1209,2,2,12,5718,0,E,10.01,168386
1599,3,2,1,4340,0,D,5.03,254012
2282,2,2,9,4363,1,C,8.45,338600
1643,4,5,37,3853,2,D,7.35,231043
2583,2,2,3,4811,0,D,8.67,350422
1147,2,3,1,2435,0,D,1.75,192492
659,3,3,44,3557,1,D,10.5,107570
1107,3,4,31,7187,0,D,14.13,181397
1143,2,2,33,4811,1,E,8.89,131684
1797,3,4,3,4612,0,C,6.66,317146
1088,1,1,19,6300,2,D,2.09,167758
1220,3,3,0,3543,0,C,10.38,230756
872,5,4,23,5029,0,A,11.09,276910
1829,1,1,11,2938,2,B,6.29,304886
447,5,5,2,4824,2,D,20.16,137720
1540,2,2,7,1032,1,C,21.01,244883
1508,3,3,9,6635,0,B,8.38,309077
1715,2,2,5,4241,0,D,6.17,244060
939,5,5,22,8467,1,A,10.05,297171
714,3,3,1,2133,2,D,16.97,143079
2173,2,2,16,7392,1,B,20.26,370653
1602,5,4,6,4343,0,D,3.72,267166
1946,4,4,27,5822,1,B,15.31,363523
1022,3,3,12,3856,1,A,16.61,278554
1529,4,4,19,4832,0,A,14.92,367532
1523,5,5,57,4151,0,C,4.22,250379
859,5,5,8,7820,0,A,19.25,304551
1868,2,2,3,1060,2,C,17.49,279260
1431,4,4,12,8173,1,E,8.5,208393
1208,5,5,4,2952,1,A,6.87,344977
1131,2,3,18,5254,0,D,10.11,171676
1316,3,4,14,5944,2,A,14.54,338378
3356,2,1,89,6429,0,C,7.67,401905
1633,2,1,10,3110,0,D,12.8,222709
915,5,5,9,6211,1,B,19.44,245943
2025,1,1,10,3145,1,B,14.52,342923
1847,5,5,15,4264,0,B,13.38,371749
1643,5,5,26,2018,0,B,17.52,309493
1626,5,5,3,5831,0,D,4.37,282740
1267,5,5,19,6136,1,D,12.64,215063
1498,3,3,2,7051,2,E,11.05,211160
1127,3,4,2,200,0,C,5.45,227844
2449,2,3,38,5857,2,A,3.5,472812
1144,5,5,17,6100,1,C,7.09,237441
2170,4,4,59,5624,0,E,7.44,222590
1960,2,3,7,4912,0,E,2.62,243512
1352,2,2,0,7165,0,D,15.63,208577
2445,2,3,34,3193,2,E,8.9,261854
1261,3,3,40,2600,0,E,11.29,146653
1976,2,3,13,3701,0,A,4.19,437442
773,2,2,29,3376,1,C,17.24,139476
2129,4,4,7,4698,2,D,1.22,327733
603,2,2,33,6129,2,B,11.35,144329
1508,4,5,77,8408,1,C,12.97,218239
610,4,4,25,2573,0,C,13.56,138326
1146,3,3,22,6303,2,B,6.75,249731
1646,2,2,14,4010,1,E,8.48,199236
1493,4,4,3,5958,1,C,11.65,288498
984,3,3,13,5755,2,E,8.1,150850
2157,5,4,10,2549,0,D,13.3,322511
1231,4,5,10,3605,1,C,14.27,247021
1341,5,4,19,5131,0,A,4.56,348846
1051,2,1,37,9400,0,D,3.85,160428
1448,3,3,7,4919,0,A,8.43,368130
1212,5,4,56,7239,1,B,3.07,234649
1948,2,3,36,980,2,E,18.87,208407
2340,2,3,6,5307,0,B,4.1,406965
850,3,4,5,5166,1,A,7.86,261885
1363,2,2,88,3735,2,E,20.59,113403
954,4,3,3,6830,2,D,10.05,193520
1220,3,4,25,2360,2,E,23.65,161242
1404,3,3,9,5377,2,D,11.2,223844
765,3,3,9,5703,1,D,9.8,155002
1400,2,1,41,5681,0,A,11.0,276586
1099,3,4,5,4351,2,C,6.68,220551
367,4,4,13,6441,1,E,14.14,97156
1403,4,4,54,7079,1,D,19.96,189632
1139,3,2,38,5183,1,B,5.78,225136
1387,5,5,36,6241,2,D,19.96,209099
1472,2,1,4,6790,0,C,15.91,243868
2150,2,1,20,5087,2,C,4.9,306678
551,2,2,28,8649,1,D,0.14,112163
2024,3,4,34,6196,0,D,11.23,270110
1468,2,3,7,1771,1,B,11.6,273984
1442,4,4,29,5189,0,D,16.96,225721
1882,3,3,68,4046,0,A,12.91,340539
1287,2,1,8,6509,0,B,10.0,259107
1213,2,2,64,5101,1,C,1.49,155068
3279,5,5,9,5492,2,E,2.95,373341
813,2,1,4,7025,0,D,15.6,158041
1872,2,2,8,200,2,A,8.79,394357
2599,3,4,12,4661,1,E,2.53,302592
1327,4,4,13,4712,0,C,8.53,249618
1935,4,4,17,7576,2,A,20.89,437357
1419,2,1,23,4240,2,B,7.85,255079
1607,2,1,33,3023,0,E,3.66,169288
1458,2,2,5,4110,2,A,4.72,359728
1005,3,3,20,7007,1,A,9.89,275919
1318,3,3,19,4873,2,A,9.99,328148
1392,4,3,17,5106,2,D,7.36,233995
669,4,5,16,5604,1,C,13.07,161536
1529,4,4,52,7410,0,A,17.13,335329
853,2,3,5,2090,1,B,24.61,186371
762,2,2,37,3025,1,D,4.69,109845
1703,2,2,12,5982,1,D,9.54,236909
2385,2,2,6,4999,2,B,17.63,412979
815,2,1,21,6174,2,C,10.98,151252
1716,5,5,0,5523,2,B,20.17,368023
1568,5,5,3,5117,2,D,22.39,259498
1467,3,4,1,6503,0,A,11.45,380833
2343,2,2,22,6002,0,C,4.27,338997
584,4,3,26,5727,1,A,2.59,206986
1565,3,2,9,7209,2,D,14.13,246724
1787,3,3,29,5952,1,B,10.51,314001
1059,3,3,6,9476,1,A,13.91,314079
1021,2,1,5,6806,2,B,5.32,235344
1810,3,4,9,4976,2,E,13.9,227695
879,3,2,3,2712,0,E,3.17,131250
1507,5,6,5,3001,2,D,5.53,272802
1836,3,3,16,5743,1,E,8.49,226070
1387,2,2,21,3303,2,D,1.34,212750
2419,4,4,14,7584,2,E,10.38,294106
2358,3,3,11,5594,0,A,14.46,509100
1617,3,3,26,5097,0,D,11.15,234434
763,3,3,27,5333,0,E,20.74,110658
1833,4,4,3,4943,2,C,22.62,303926
1923,4,4,22,6470,0,D,14.05,273584
1071,4,4,24,5522,0,B,7.15,242792
669,4,4,4,6454,1,C,4.25,175972
728,5,5,17,6273,2,B,4.52,219972
1561,2,2,6,4827,0,B,7.36,308926
2768,2,3,28,3227,1,E,15.25,284855
1304,3,3,23,2454,0,B,0.25,265244
1199,2,2,52,7563,0,E,6.82,137712
1126,4,4,7,6994,2,A,7.26,341027
728,3,3,27,5275,1,C,1.05,165095
1871,2,3,29,6297,2,E,5.03,222240
1927,2,3,24,4150,1,D,9.49,256068
666,3,4,18,7477,1,A,23.76,225627
631,4,5,27,7580,0,D,8.91,147307
396,1,2,8,5074,1,B,20.9,120597
1719,4,4,106,2903,1,A,5.92,289173
1771,3,3,10,1189,2,D,5.9,260969
1448,3,3,10,4627,2,E,3.58,201615
1398,2,2,14,5360,1,C,7.48,238195
1626,3,4,30,8614,1,D,10.41,248016
1629,3,3,41,7050,0,D,5.81,216851
1607,3,3,19,1463,2,B,7.33,303988
1303,3,3,28,7800,2,E,10.78,165490
1977,4,5,9,3873,0,C,18.32,337229
1461,3,4,25,7015,1,E,7.9,190945
1419,3,3,0,3820,2,E,0.91,190901
1645,2,2,9,3692,1,C,10.45,260003
1234,5,5,18,3216,0,A,15.11,341436
1010,2,2,9,6663,1,C,11.58,199840
2268,3,4,7,5111,2,C,9.04,356395
1744,3,3,18,5218,1,A,7.37,392152
